name,par_income_lab,attend,public,tier
Princeton,95-96,0.015996249,Private,Ivy Plus
Princeton,96-97,0.013131108,Private,Ivy Plus
Princeton,97-98,0.01603812,Private,Ivy Plus
Princeton,98-99,0.016708748,Private,Ivy Plus
Princeton,99-99.9,0.019735184,Private,Ivy Plus
Princeton,Top 1,0.021002423,Private,Ivy Plus
Princeton,Top 0.1,0.028985394,Private,Ivy Plus
Stanford,0-20,0.015156368,Private,Ivy Plus
Stanford,20-40,0.012427915,Private,Ivy Plus
Stanford,40-60,0.011893802,Private,Ivy Plus
Stanford,60-70,0.009794605,Private,Ivy Plus
Stanford,70-80,0.009845215,Private,Ivy Plus
Stanford,80-90,0.009915769,Private,Ivy Plus
Stanford,90-95,0.010006097,Private,Ivy Plus
Stanford,95-96,0.011573368,Private,Ivy Plus
Stanford,96-97,0.013688022,Private,Ivy Plus
Stanford,97-98,0.016039237,Private,Ivy Plus
Stanford,98-99,0.018649569,Private,Ivy Plus
Stanford,99-99.9,0.024119224,Private,Ivy Plus
Stanford,Top 1,0.027200142,Private,Ivy Plus
Stanford,Top 0.1,0.046069298,Private,Ivy Plus
Uchicago,0-20,0.01108851,Private,Ivy Plus
Uchicago,20-40,0.009450969,Private,Ivy Plus
Uchicago,40-60,0.010737932,Private,Ivy Plus
Uchicago,60-70,0.008265502,Private,Ivy Plus
Uchicago,70-80,0.008243035,Private,Ivy Plus
Uchicago,80-90,0.0094838,Private,Ivy Plus
Uchicago,90-95,0.009712229,Private,Ivy Plus
Uchicago,95-96,0.010188866,Private,Ivy Plus
Uchicago,96-97,0.011665549,Private,Ivy Plus
Uchicago,97-98,0.012289801,Private,Ivy Plus
Uchicago,98-99,0.014703619,Private,Ivy Plus
Uchicago,99-99.9,0.017094927,Private,Ivy Plus
Uchicago,Top 1,0.01619165,Private,Ivy Plus
Uchicago,Top 0.1,0.010814705,Private,Ivy Plus
Upenn,0-20,0.008748323,Private,Ivy Plus
Upenn,20-40,0.006925762,Private,Ivy Plus
Upenn,40-60,0.008207909,Private,Ivy Plus
Upenn,60-70,0.008380869,Private,Ivy Plus
Upenn,70-80,0.009678251,Private,Ivy Plus
Upenn,80-90,0.010709144,Private,Ivy Plus
Upenn,90-95,0.010644318,Private,Ivy Plus
Upenn,95-96,0.012991782,Private,Ivy Plus
Upenn,96-97,0.013293725,Private,Ivy Plus
Upenn,97-98,0.015475733,Private,Ivy Plus
Upenn,98-99,0.019787228,Private,Ivy Plus
Upenn,99-99.9,0.02801792,Private,Ivy Plus
Upenn,Top 1,0.029811123,Private,Ivy Plus
Upenn,Top 0.1,0.042691458,Private,Ivy Plus
Yale,0-20,0.014728111,Private,Ivy Plus
Yale,20-40,0.017146273,Private,Ivy Plus
Yale,40-60,0.013127099,Private,Ivy Plus
Yale,60-70,0.012554349,Private,Ivy Plus
Yale,70-80,0.013070072,Private,Ivy Plus
Yale,80-90,0.012480339,Private,Ivy Plus
Yale,90-95,0.012232793,Private,Ivy Plus
Yale,95-96,0.014141466,Private,Ivy Plus
Yale,96-97,0.013824375,Private,Ivy Plus
Yale,97-98,0.016245347,Private,Ivy Plus
Yale,98-99,0.019719949,Private,Ivy Plus
Yale,99-99.9,0.025880974,Private,Ivy Plus
Yale,Top 1,0.028459469,Private,Ivy Plus
Yale,Top 0.1,0.045336328,Private,Ivy Plus
